Sonnet Number,Variation Number,Variation Text
4,2,"Prodigal loveliness, why lavish
Your gifts on superficial display?
Nature's loan demands that we be gracious,
Not squanderers who throw wealth away.
You, who have been given much, give little,
Holding fast to beauty's fleeting boon.
Yet, in your grasp, it shrivels, brittle,
And fades, unshared, beneath the moon.
Alone, you hoard your radiant allure,
Denying others the chance to share.
When nature calls, what balance will you cure?
Your ledger shows a wealth beyond compare.
But, unused beauty, hoarded and stilled,
Lies buried, its potential unfulfilled.

"
4,3,"Excessive charm, why do you squander
The gifts bestowed by nature's generous hand?
She gives not to those who only plunder,
But to those who share, and understand.
You, who have been given so much, give scant,
In solitude, your beauty unspent.
Yet, in your isolation, you can't
See how your riches could have been lent.
When nature summons, what account will you show?
Your unused beauty, buried with you,
Could have brought life, had you chosen to sow.
Instead, it lies fallow, its promise untrue.
So, excessive charm, learn to disseminate,
The beauty you keep is your own traitor."
5,1,"The gentle hours that shape such fair regard,
In time become tyrants, overshadowing
The grace they once held, now cruel and hard,
Unfairly reigning, yet excellent in showing.
For time unceasing propels seasons along,
From summer's bloom to winter's stark display,
Where once-green branches sing a mournful song,
And beauty fades beneath the cold array.
Were not the essence of summer's sweetness saved,
A captive jewel in glass, clear and bright,
Beauty's allure with beauty would be graved,
Leaving naught but darkness and forgotten plight.
  Yet flowers distilled, though met with winter's might,
  Lose but their form; their essence holds delight.

"
5,2,"The gentle hours that weave a lovely view,
In time become oppressors, dimming light,
Their grace obscured, their charm turned into
Unfair dominion, yet shining bright.
For time unyielding drives the seasons on,
From summer's splendor into winter's night,
Where once-verdant branches hum a mournful tone,
And beauty wanes beneath the icy blight.
Were not the soul of summer's brilliance kept,
A captive treasure in a crystal case,
Beauty's delight with beauty would be swept,
Leaving naught but shadows in its place.
  Yet flowers distilled, though met with frost's embrace,
  Lose but their guise; their essence still has grace.

"
5,3,"The tender hours that fashion beauty's face,
In time become oppressors, stealing sight,
Their charm concealed, their grace turned into
Unfair usurpers, yet retaining light.
For time unending leads the seasons on,
From summer's zenith to the winter's blight,
Where once-lush branches whisper a sad song,
And beauty fades beneath the snowy white.
Were not the quintessence of summer's charm saved,
A captive jewel in a glass so clear,
Beauty's allure with beauty would be waived,
Leaving naught but echoes of what was here.
  Yet flowers distilled, though met with winter's power,
  Lose but their guise; their essence still has flower."
6,1,"Restrain the winter's harsh, tattered grasp
From marring on thy summer's bloom before
It is condensed and treasured in a flask,
Or hidden in a place where beauty's lore
Resides in safety. Lend not to the spendthrift use
That brings no interest but a borrowed pain;
Instead, invest in thyself, increase
Thy virtues, and reap joy's harvest, gain
A bounty of happiness tenfold, outweigh
The weight of fleeting life. For if ten selves
Could rise again, reborn and amplified,
What power would death have, should it come to slay?
  Refrain from selfishness, embrace the role
  Of giver, and bequeath a noble soul.

"
6,2,"Withhold the winter's cruel, jagged claw
From marking on thy summer's splendid face,
Before its essence is distilled, endowed
Within a phial or some sacred space.
A loan that brings delight to those who lend
Is not usurious, but a blessed art;
To cultivate a second self, transcend
The boundaries of the heart, and impart
A greater self, ten times more blissful still,
Would be a gain worth more than life's own cost.
For if ten selves, reborn and multiplied,
Could stand where one had fallen, what could death claim?
  Resist the urge to hoard; instead, fulfill
  The nobler purpose, and ignite a flame.

"
6,3,"Deny the winter's rough and tattered hand
From marring on thy summer's bright array,
Before its nectar is preserved, grand
In some receptacle or hallowed bay.
That use is not unrighteous which imparts
A joy to those who lend, and borrow peace;
To grow another self within one's heart,
A soul that knows a tenfold ecstasy,
Would be a boon worth more than life's own worth.
For if ten selves, refigured and refined,
Could rise again, reborn and amplified,
What power would death have, should it come to call?
  Refrain from selfishness; instead, impart
  A legacy of love, and thine own soul shall grow."
7,1,"As dawn breaks in the east, graced by radiant light,
All creatures rise to greet the day's new sight,
Paying homage to the sun's ascent,
Awakening as it spills its gentle light.
Majestic in its middle age, it climbs,
Strength and vigor etched in every beam,
Yet, even as mortal age it skims,
We find ourselves still caught in its gleam.
But when this star, so bright, begins to wane,
Our gaze drifts off, no longer held,
To seek instead the rain or stars' refrain,
In things that shine when daylight has been quelled.
So you, like the sun, must shine your brightest hour,
Else unseen, you'll fade and lose your power.

"
7,2,"Behold, the orient's gentle, kindly light,
As dawn awakes and greets the morning bright,
Each eye that sees does homage to its face,
In awe of its celestial, warming grace.
With strength and power, it climbs the sky so high,
A picture of youth in its middle age, so spry,
And still, we mortals marvel at its might,
Adoring its golden, radiant light.
Yet, as it tires, its weary course it bends,
No longer able to keep up its ends,
Our eyes, once loyal, now to other things wend,
Leaving the sun to its nighttime trends.
Thus, like the sun, you too must shine your best,
Or else, when gone, you' ild be but a jest.

"
7,3,"In the orient, as the sun begins to rise,
Its gentle, gracious light greets eager eyes,
All creatures rise to pay their morning rites,
Basking in the sun's resplendent light.
With strength and vigor, it ascends the sky,
A portrait of youth in its middle age, nigh,
And still, we mortals gaze in pure delight,
Enchanted by its golden, shining light.
But when it starts to sag, its journey done,
Our eyes, once faithful, seek new horizons,
Abandoning the sun, now waxing wane,
For stars and moon, their gentle, softer glows.
Like the sun, you too must shine your brightest hour,
Or else, unseen, you'll fade and lose your power."
8,1,"To what do you lend your ear, O music, with sorrow?
Sweetness with sweetness does not wage war, delight dwells in delight.
Why do you cherish that which you do not welcome openly,
Or welcome with pleasure, your vexation's delight?

If the true harmony of well-matched notes,
By combined bonds, offends your hearing,
They but gently reproach you, confusing
The parts that you ought to carry, in singularity.

See how one string, a sweet spouse to another,
Each by the other is struck in mutual rhythm,
Resembling a father, a child, and a joyful mother
Who, all in one, one harmonious note do sing;

Whose unspoken song, being many, yet one,
Sings thus to thee: ""In solitude, thou shalt be none.""

"
8,2,"Pray tell, why do you listen to music with a heavy heart?
Sweetness finds joy in sweetness, mirth takes pleasure in mirth.
Why do you cling to what brings you no cheer,
Or brings you joy mingled with pain and fear?

If the true concord of finely tuned strains,
In harmonious union, displeases your ear,
They but softly scold you, confusing
The parts that you should unite, in unity keeping.

Gaze upon how one string, a loving partner to another,
Each by the other is stirred in mutual dance,
Resembling a sire who with his offspring does consort,
And a mother, all in one, one melodious note do sing;

Whose unvoiced song, many and one,
Sings thus to thee: ""In isolation, thou shalt be undone.""

"
8,3,"Hearken, why do you listen to music with a mournful air?
Sweetness finds delight in sweetness, rapture in rapture.
Why do you embrace what brings you no gladness,
Or brings you joy tainted with sadness?

If the true harmony of well-matched tones,
By combined grace, displeases your hearing,
They but gently reprove you, confounding
The parts that you should gather, in harmony keeping.

Observe how one string, a faithful companion to another,
Each by the other is struck in mutual harmony,
Resembling a father who with his kinship does accord,
And a mother, all in one, one symphonic note do sing;

Whose unspoken song, many and one,
Sings thus to thee: ""In solitude, thou shalt be undone."""
9,1,"For dread of dampening a window stained with grief,
Do you then burn, alone, in solitary plight?
Oh, should you pass, childless, from this earth's relief,
The world shall wail as a widowed spirit, bereft of light.
The world will weep for thee, its lonely, barren mate,
Lamenting that no trace of thee remains,
While every private widow, in her heart, creates
A shrine to her beloved, by memory's chains.
Consider then the profligate who lavishly spends
His bounty on the world, which ever craves his grace;
But beauty's treasure, if not lent or sends
Its gifts unto the world, will dwindle and efface.
No love for others dwells within that heart,
Which on itself such grievous wounds doth impart.

"
9,2,"Lest a widow's tear should dare to stain the ground,
Do you, in solitude, let your essence fade?
Oh, if you leave no heirs, no progeny to be found,
The world will mourn you like a widow left in shade.
The world will wail and gnash its teeth in despair,
Lamenting the void left by your form unseen,
While every private widow, in her quiet lair,
Can treasure her beloved, kept evergreen.
Ponder the profligate who, in his reckless spending,
Wastes his wealth upon the world, which never tires,
But beauty's bounty, if not sharing, lending,
Will vanish, leaving naught but ashen embers and ashes.
No love for others dwells within that soul,
Which on itself such cruel wounds doth take.

"
9,3,"To keep a widow's tear from ever wetting earth,
Do you, in solitude, consume your vital fire?
Oh, if you leave no offspring, no heir to claim your birth,
The world will weep for you, a widowed sire.
The world will wail and grieve, its heart laid bare,
Lamenting the loss of your unseen form,
While every private widow, in her lonely lair,
Can treasure her beloved, her heart's own norm.
Consider the profligate who, in his wild abandon,
Scatters riches on the world, which ever hungers,
But beauty's treasure, if not expanded, lent, or planned,
Will dwindle, leaving naught but embers and ashes clung.
No love for others dwells within that breast,
Which on itself such grievous wounds doth infest."
10,1,"Cease this denial of love you claim to shun,
In selfishness, your own heart you impoverish.
Concede, if you must, that many have won
Your heart, but few have received your favor.
For such loathing holds you captive and blind,
Plotting against your own existence.
Why destroy what you should strive to redefine,
A sanctuary worthy of preservance?
Oh, alter your perspective, let me see
A kinder, warmer, more inviting soul.
Let love reside where once there was hostility,
Transform into the person you control.
   Create a second self, for love of me,
   That beauty's flame may ever burn in thee.

"
10,2,"Desist from hiding love, which you disown,
In carelessness, your own heart you abandon.
Admit, if you are able, that you've grown
Affections for many, yet give none your hand.
For rage has conquered you, and now you plot
To bring ruin to the shelter you call home.
Instead, restore it, let your love be sought,
And find your heart's true place to roam.
Oh, change your mind, and I may change my plea,
Shall animosity be cherished more than love?
Let grace and kindness be your decree,
Or at least befriend the one you're above.
   Fashion for yourself a new identity,
   That beauty's legacy may thrive in thee.

"
10,3,"Relent, and admit that love you do withhold,
In recklessness, your own heart you endanger.
Confess, if you're willing, that many have enrolled
Their hearts in your affection, yet you remain estranged.
For fury has consumed you, and now you stand
To raze the refuge that you should revere.
Rather, rebuild it, let your love expand,
And let affection guide you near and clear.
Oh, transform your thoughts, and I may transform mine,
Shall wrath be honored over tender affection?
Let graciousness and warmth be your design,
Or at least extend kindness to your own creation.
   Forge a new self, for love of me,
   That beauty's memory may ever be."
11,1,"As swiftly as you fade, so swiftly bloom,
In one of yours, from what you left in gloom;
And that fresh life you youngly lay in tomb,
You may reclaim as yours upon life's cusp.
Herein lies wisdom, beauty, and rebirth,
Without this, decline and chill decay;
If everyone embraced such sacred mirth,
Age's cycle would not steal youth away.
Let those who lack the gifts of progeny,
Harsh, featureless, and raw, in scarcity,
Look to those she best endowed, set free,
Bountiful gifts to treasure lovingly.
  She carved you for her mark, her legacy,
  To multiply, not let that copy flee.

"
11,2,"As quickly as you wane, you shall expand,
In one of theirs, from what you left so grand;
And that fresh spirit you kindly lend,
You may reclaim as yours, by fate's command.
Herein lies wisdom, beauty, and respite,
Without this, age and cold decay will reign;
If everyone could grasp this insight,
Years would not steal the joy of youth in vain.
Let those who bear no fruit, in drought,
Harsh, featureless, and hollow, fade without,
Look to those she blessed, let them find out,
Bounteous gifts to cherish, to bear without.
  She carved you for her sign, her truth,
  To propagate, not let that copy soothe.

"
11,3,"As rapidly as you decline, you'll rise,
In one of theirs, from what you left behind;
And that fresh essence you so kindly prize,
You may reclaim as yours, by time's design.
Herein lies wisdom, beauty, and rebirth,
Without this, age and chill decay will stay;
If everyone could find this worth,
Years would not steal the bloom of youth away.
Let those who bear no offspring, in dearth,
Harsh, featureless, and stark, in barren earth,
Look to those she favored, find mirth,
Bounteous gifts to treasure, to give birth.
  She carved you for her mold, her art,
  To multiply, not let that copy depart."
12,1,"As I regard the clock that marks the hours
And watch the vibrant day succumb to night,
When violets fade and silver streaks adorn
The raven locks, once dark and full of might;
Observe trees, once lush, now stripped of verdant leaves,
Which once provided shelter for the flock,
And fields of green, now bound in sheaves,
Carried away on carts by Time's relentless clock;
I ponder then, if your own beauty too,
Like fleeting moments, will one day depart,
For all things lovely, in the end, are doomed,
To wither and decay, as other's hearts;
  No force can halt the march of Time's decree,
  But life, to face his scythe, and continue heedlessly.

"
12,2,"Considering the clock that tracks the fleeting hours,
Witnessing the radiant day swallowed by night,
Noticing violets wilt and dark hair turns to gray,
Time's cruel hand stealing the light;
See once-mighty trees, now lifeless and bare,
Their verdant canopy replaced by air,
And summer's green, now harvested and stored,
Brought forth by Time's unyielding, merciless roar;
Then, of your beauty, I begin to doubt,
Knowing it, too, must yield to Time's pursuit,
For beauty fades, as all things surely do,
Replaced by shadows, whispering mute;
  Only life persists, defying Time's cruel scythe,
  Pressing on through darkness, carrying the flame of life.

"
12,3,"Contemplating the clock that gauges time's swift course,
Observing the vivid day subdued by blackest night,
Finding violets faded, once-dark tresses now a silvery force,
Trees, once teeming, now barren, stripped of might;
Summer's green, now bound in sheaves,
Harvested by Time's unwavering, remorseless hand,
And fields once lush, now shorn and bereaved,
Borne away on carts from this fertile land;
Then, of your beauty, I begin to despair,
Knowing it, too, must wane, as fleeting as a prayer,
For beauty fades, as all things surely do,
Replaced by echoes, floating in the air;
  Yet life remains, confronting Time's unyielding scythe,
  Pressing on through shadows, bearing the torch of life."
13,1,"Oh, if you could only be truly you! Yet, my love,
Your essence is fleeting as your breath in air;
Prepare for the end, relinquish your self-love,
And let another claim your beauty's share.
Thus, your ephemeral grace may find new life,
A continuance in your child's tender form,
Reviving you from the brink of strife,
In the cradle of a new, blossoming storm.
Who would let such a radiant dwelling fall,
A sanctuary of love and grace,
Unless they were blind to beauty's call,
Or lacked the will to preserve its place?
  My love, you had a father; let your son proclaim,
  A testament to love that endures through name.

"
13,2,"Oh, that you were yourself, unchanged, unyielding,
But love, your form is but a transient guest;
Prepare for the departure, cease your selfish dwelling,
And pass your radiance on to the next.
So shall the beauty you possess extend,
Unfettered by the grasp of mortal time,
Reborn and mended, a new tale to lend,
Through the legacy of your offspring's prime.
Who would let a treasure such as this decay,
A citadel of warmth and light,
If not for those who've lost their way,
Denying the beacon of the day and night?
  My love, you had a father; let your son carry,
  The flame of memory, undiminished and hearty.

"
13,3,"Oh, that you were your true self, steadfast and bright,
But love, your essence is but a fleeting dream;
Prepare for the departure, take your leave in the night,
And let your visage in another gleam.
Thus, the beauty you embody may survive,
In the tender form of your scion's face,
Reviving your spirit, a tale to strive,
Through the legacy of your lineage's grace.
Who would let such a resplendent dwelling fade,
A fortress of love and delight,
Unless they were blind to beauty's trade,
Or lacked the will to preserve the sight?
  My love, you had a father; let your son become,
  The guardian of memory, strong and glowing from."
14,1,"I draw not wisdom from the celestial sphere,
Yet in mine eyes a cosmos do I bear--
Not to foretell of fortune's fleeting cheer,
Of famines, plagues, or seasons in disrepair.
No, I cannot number clouds and storms,
Nor predict the fates of monarchs bold,
In heaven's scriptures, secrets find their forms,
Of thee, dear heart, my sagacity unfolds.
In thine own gaze, my wisdom lies so deep,
A chart of truth and beauty's wondrous dance;
If thou wouldst but surrender, gently seep
Into thine own soul, and seize thy chance.
  Or else this prophecy shall come to pass:
  A tragic end awaits thy truth and grace.

"
14,2,"My lore is not from heaven's distant light,
Yet, in your orbs, a universe I see;
Not to forecast storms or weal of night,
Nor whisper fortunes to thee and me.
No skill have I to mark the gales' swift track,
Nor scan in stars the sovereign's fickle fate;
In heaven's book, such secrets lie in pack,
Of you, I learn the truth and beauty's trait.
In your sweet gaze, my knowledge does abide,
A tale of constellations, love, and art;
If you would but embrace, step inside,
Yourself, and let your spirit take its part.
  Or thus I predict, with heavy heart:
  Your doom is truth and beauty's to depart.

"
14,3,"My wisdom does not spring from lofty skies,
Yet, in your eyes, a boundless sea I find;
Not to foretell the tempests and sunrise,
Nor prophesy the sovereign's destiny entwined.
No power have I to trace the winds' wild swerve,
Nor read in stars the turns of royal lot;
In heaven's scroll, such mysteries preserve,
Of you, I learn the truth and beauty's knot.
In your own orbs, my learning does reside,
A testament of stars, in passion drowned;
If you would but embrace, step inside,
Yourself, and let your essence be renowned.
  Or else, my fearful prophecy will sound:
  Your end is truth and beauty's burial ground."
15,1,"In pondering all that flourishes and thrives,
I see perfection's fleeting, transient phase;
The vast world's stage, where stars in chorus dive,
In silent language whispering their ways.
As humans bloom, like plants, they rise and fall,
Their vibrant youth by selfsame sky inspired,
Yet wilt beneath its gaze, ambitions stall,
And beauty fades, forgotten and tired.
This thought of mutability stirs deep,
A battlefield where Time and Decay contend,
To rob you of your youth, and leave you weep,
Your vibrant day to dusk and darkness descended.
   And so, in love's defiant, warring strife,
   I'll graft new life, as Time takes from your life.

"
15,2,"Considering growth, I find a truth concealed,
A moment's grace in all that blooms and fades;
This grand stage shows a cosmic play unsealed,
Where suns and moons on human lives parade.
Like plants, we rise and fall in life's great dance,
In youth exulting, in decay we mourn,
As fleeting beauty leaves its wistful glance,
And memories of vibrant days are torn.
This thought ignites a war within my soul,
A fight to keep the grasp on fleeting youth,
To challenge Time's relentless, ruthless role,
And snatch you from Decay's insidious tooth.
   In love's sweet battle, I shall not retreat,
   I'll graft new life, as Time and Decay seethe.

"
15,3,"When mulling over life's abundant grace,
I find all blooms have moments they must yield;
This world's vast stage presents a fleeting race,
Where stars and planets on our fates impel.
As plants grow strong, then fade, so humans rise,
In youth exultant, in decay they droop,
Their vibrant days and beauty swiftly flies,
Leaving behind a longing, wistful group.
This thought ignites a war within my breast,
A fight to keep the ones I love so dear,
To challenge Time and Decay's ruthless quest,
And shield you from the shadows drawing near.
   And thus, in love's defiant, warring strife,
   I'll graft new life, as Time consumes your life."
16,1,"Yet why do you not challenge this fierce foe,
Time's cruel reign, with strength beyond my verse?
In your own dwindling, find a way to grow,
A bulwark stronger than my humble curse.
Perched now atop life's joyous peaks you stand,
And many a fertile field, unplowed by hand,
Would gladly bear your image, true and grand,
More real than gilded copies can.
So too, the lines of life, by time outlined,
Or by my hand in verse, can never be
As true to you as when you are designed
By your own essence, plain for all to see.
  To lose yourself is to retain your soul,
  And you will live, through artful self-control.

"
16,2,"But why not then confront this ruthless enemy,
This tyrant Time, with a more potent force,
And in your own decline find remedy,
More powerful than my simple verse's course?
Now poised upon the pinnacle of glee,
And many a maiden meadow, unadorned,
Yearns to bring to life your form, in purity,
More genuine than any art can spawn.
Thus, lines of life, by Time or me inscribed,
Cannot compare with what your heart can show,
In self-drawn form, no skill can be so precise,
As that which springs from your own inner glow.
  To let yourself go is to truly live,
  And through your art, your spirit shall survive.

"
16,3,"So why, I wonder, do you not defy
This oppressive lord, Time, with ampler might,
And in your own decline, learn to rely
On solace stronger than my written rite?
Now balanced on the summit of delight,
And many a maiden glade, untouched by hand,
Would fain bring forth your form, in purest light,
More real than any imitation's hand.
So, lines of life, by Time or me inscribed,
Cannot match the truth your essence holds,
In self-drawn form, no artifice can hide,
The beauty that your heart and soul enfolds.
  To lose yourself is to discover grace,
  And through your art, you'll find your resting place."
17,1,"In future ages, who would credit my song
If I detailed each virtue you possess?
Though now, by heaven, 'tis but dimly shown,
Like a faint star your brilliance still impress.
If I could pen the azure of your gaze
And count anew each charm that graces you,
The world would cry, ""This poet tells but praise,
No face on earth could claim such heavenly hue.""
My parchment, yellowed by the sun's embrace,
Would be dismissed, as ancient men deceive,
And your true worth, they'd say, is but a chase,
A bard's wild dream, no more, they'd believe.
  Yet, should a child of yours inherit earth,
  You'd live again, through progeny and mirth.

"
17,2,"When future years have passed, who'd trust my word
To sing your praises, so divine and bright?
Though now, alas, but shadows are conferred,
Your worth in whispers, hidden from the light.
If I could paint the hue of your dear smile
And sing anew each grace that decks your soul,
The ages hence would deem it all a style,
A poet's touch, no more, they'd take control.
My verses, aged, would gather dust and sneers,
Like elders' tales, less true than first believed,
And your true worth, they'd say, is but a veneer,
A fancied thing, no more, by bards conceived.
  But if, by chance, a child of yours remains,
  Your spirit lives, through them and my refrains.

"
17,3,"When ages turn and time has passed along,
Who'd heed my voice, recounting your great worth?
Though now, it's true, but shadows are prolonged,
Your virtues veiled, concealed from common earth.
If I could sketch the emerald of your heart
And celebrate each trait that graces you,
The future minds would think it but a part,
A poet's tale, no more, they'd turn adieu.
My lines, grown old, would fade like morning mist,
Like ancients' fables, less than true they'd find,
And your true value, they'd declare, is amiss,
A fleeting thought, no more, by bards designed.
  Yet, should a scion of your blood take flight,
  Your essence lives, through them and rhythm's light."
18,1,"Ought I to liken you to a day in spring?
You are more graceful, and your touch is soothing.
Wild gusts may stir the blossoms of everything,
Yet spring's embrace is fleeting.
Sometimes too bright shines the sun's all-seeing gaze,
And often its radiance fades from view;
All beauty wanes, in various ways and ways,
By chance or nature's shifting hue.
But your everlasting spring shall never fade,
Nor shall it yield what rightfully is yours,
Nor shall the specter of Death be displayed,
When in eternal verse you bloom once more.
  As long as hearts can yearn or souls can roam,
  This verse shall live, and you'll never be alone.

"
18,2,"Should I equate you to an autumn's gentle sigh?
You are more vibrant, and your whispers are soft.
Storms may harass the leaves that flutter by,
Still, autumn's allure is aloft.
At times, the sky weeps, obscuring the sun,
And often its warmth is hidden from sight;
All splendor fades, as day is overcome,
By twilight's enchanting, subtle light.
But your eternal autumn shall not wane,
Nor lose its grasp on beauty that it holds,
Nor shall the reaper's somber claim contain,
The tale of valor that your spirit told.
  So long as minds can dream or spirits soar,
  This poem lives, and your legacy endures.

"
18,3,"May I assimilate you to a winter's calm?
You are more serene, and your quiet is deep.
Beneath the stars, the snowy world transform,
In slumber, secrets the earth does keep.
Harsh winds may howl, yet cannot breach,
The fortress of tranquility you've made;
Though short-lived, winter's grasp does reach,
To every corner, where shadows are laid.
But your eternal winter shall not cease,
Nor lose its hold on peace that it possess,
Nor shall the frost's encroaching spread increase,
The fortitude found in your steadfastness.
  While time still turns and worlds take form and flight,
  This verse shall burn, a beacon in the night."
19,1,"Biting Time, blunt thou the lion's claws
And make Earth consume her own dear offspring;
Pluck the sharp fangs from the tiger's fierce jaws,
And incinerate the ancient phoenix's wing.
Scatter joy and sorrow as you take flight
And do as you will, swift-paced Time,
To the vast world and all her fleeting delights.
But I forbid one grievous act from thee:
O, etch not with your hours my love's smooth face,
Nor trace no furrows there with your old quill;
Let him in your path remain untouched,
A timeless beauty for future hearts to fill.
Still, do your worst, old Time; in spite of your harm,
My love shall in my words forever be warm.

"
19,2,"Consuming Time, blunt thou the lion's grasp
And make the Earth swallow her own tender fruit;
Tear the sharp claws from the tiger's fierce grasp,
And cremate the long-lived phoenix in its root.
Bring gladness and sorrow as you take stride
And do what you wish, swift-moving Time,
To the wide universe and all her passing pride.
But I forbid one wicked deed from you:
O, mar not with your moments my love's bright visage,
Nor engrave no wrinkles there with your ancient tool;
Keep him unscathed in your endless race,
A pristine beauty for future minds to rule.
Yet, do your worst, old Time; despite your cruel hand,
My love shall in my verses forever stand.

"
19,3,"Claiming Time, blunt thou the lion's hold
And make the Earth reclaim her own lovely spawn;
Rip the sharp talons from the tiger's stronghold,
And scorch the long-lived phoenix in its dawn.
Scatter joy and sadness as you swiftly glide
And do what you desire, swift-gliding Time,
To the broad world and all her transient pride.
But I forbid one monstrous sin from you:
O, etch not with your hours my love's gentle brow,
Nor mark no lines there with your hoary pen;
Spare him from your touch in your endless flow,
A flawless beauty for future eyes to ken.
Still, do your worst, old Time; in spite of your scorn,
My love shall in my lines forever be reborn."
20,1,"A visage feminine, by Nature's art adorned,
You hold, my ruling passion's sovereign;
A tender heart in women's stead, unsworn
To fickle whims like those of mortal women.
Brighter than theirs is your observant gaze,
Less deceptive in its following path;
In your command, all colors have their days,
Entrancing minds and captivating both.
First shaped for womankind, you were, until
Nature, in her crafting, fell bewitched;
By your addition, my intent she killed
With a nothingness she could not hitch.
Yet, since for women's delight you're made,
Take my love; let them keep the charade.

"
